artist_clean,scrobbles
forfun,1879
astrix,927
limp bizkit,911
linkin park,892
vegas,860
blink182,676
freedom fighters,630
groundbass,616
system of a down,595
blazy,594
neelix,466
vini vici,458
electric universe,424
captain hook,387
phaxe,385
the offspring,383
omiki,355
ranji,354
avenged sevenfold,353
synthatic,332
ghost rider,332
avalon,330
a day to remember,329
slipknot,312
vermont,311
terra,264
bloodywood,259
tijah,257
merkaba,251
avicii,242
mitsunari br,237
invasion,234
charlie brown jr,227
gms,219
the ghost inside,217
sum 41,209
anavitria,209
ace ventura,208
celestial aeon project,207
calvin harris,206
foo fighters,204
avan7,200
tisto,197
technical hitch,193
killerwatts,190
korn,188
falling in reverse,187
blastoyz,185
swedish house mafia,183
howard shore,177
armin van buuren,176
strike,164
braza,155
rinkadink,150
skindred,149
bring me the horizon,147
green day,142
pitty,138
jirayauai,133
basscannon,131
trilhas e razes,130
altruism,129
mahakatha,128
faders,125
pandora,123
sajanka,121
mrkitty,119
dimitri vegas like mike,119
the rasmus,118
liquid soul,115
aronchupa,114
coldplay,114
charlotte de witte,112
antonio vivaldi,112
fresno,111
cronocops,110
pantera,109
rage against the machine,105
dead musicians society,105
talpa,103
gorillaz,102
major7,101
cpm 22,100
perfect stranger,100
rfs du sol,100
nx zero,100
all in one,99
animato,97
querox,96
loveless,94
shanti people,92
ludwig van beethoven,89
kataklysm,88
meduza,85
damian marley,85
evanescence,85
bullet for my valentine,85
skank,82
earthspace,82
menumas,82
the chainsmokers,82
architects,81
wolfgang amadeus mozart,79
aura vortex,79
the whispering hymn,79
rising dust,79
chapeleiro,78
imagine dragons,78
claudinho brasil,76
tristan,76
sowulo,75
hilight tribe,75
mudvayne,74
hillsong united,72
adama,71
red hot chili peppers,71
3 of life,70
metallica,69
roberta campos,69
alpha portal,68
bob marley the wailers,68
webra,68
perception,67
audioslave,67
alice in chains,66
roby giordana,66
far east movement,66
alok,65
megadeth,65
dekel,65
m83,65
avalien,64
detonautas roque clube,64
raul seixas,63
machete bomb,63
post malone,63
morten granau,62
konaefiz,62
rubel,62
parov stelar,62
thiaguinho,61
papa roach,61
nf,60
berg,60
steve aoki,60
onerepublic,59
mad maxx,59
harry styles,59
trampsta,59
chemical noise,59
mandragora,58
kvsh,57
budang,57
creed,57
three days grace,56
jack johnson,55
maroon 5,55
nelson gonalves,55
indira paganotto,54
mekkanikka,53
pod,52
reverence,52
memento mori,52
legio urbana,52
mad tribe,52
marjorie estiano,51
munknrr,51
mavic,51
lagum,51
adele,51
undercover,51
new west,51
rise against,51
hateen,50
disturbed,50
sepultura,49
david guetta,49
pettra,49
drowning pool,49
dubdogz,48
nando reis,48
illusionize,47
o rappa,47
rosa walton,47
spiritbox,47
talamasca,47
the weeknd,47
ls jack,47
dezko,46
adalamoon,46
xalv,46
hi profile,46
burn in noise,46
martin garrix,46
eminem,46
jorge mateus,45
becker,45
crystal castles,45
maneva,45
dzp,44
kavinsky,44
amanati,44
ini kamoze,43
bad omens,43
os paralamas do sucesso,43
decapitated,43
stuff,43
fury in few,43
the kid laroi,43
world complete,42
memphis may fire,42
deorro,42
spectra sonics,41
uncharted territory,41
glowing aura,40
soja,40
miley cyrus,39
pixote,39
gilsons,39
pearl jam,39
lilly palmer,39
mareux,39
wnboss,39
staticx,39
burn the priest,38
vintage culture,38
shanka tribe,38
macedo,37
nicolas julian,37
