artist_clean,track_clean,occurrences
astrix,heart,198
technical hitch,mama india blazy groundbass tijah remix,164
freedom fighters,one level down,135
forfun,morada,134
blazy,dystopia,134
vegas,jiboya,133
blazy,harvest moon,122
groundbass,digital human,117
vini vici,come close,110
vini vici,adhana,105
vegas,badegum,104
astrix,sahara original mix,99
neelix,makeup,98
forfun,alegria compartilhada,96
astrix,deep jungle walk,94
slipknot,psychosocial,93
forfun,constelao karina,93
omiki,safari,88
dead musicians society,balikali dead musicians society aura vortex blazy remix,88
vegas,bae bae,88
perfect stranger,six feet under captain hook remix,88
animato,heart beat,86
the ghost inside,aftermath,85
forfun,cosmic jesus,84
limp bizkit,my generation,83
charlotte de witte,high street astrix remix,83
neelix,bang bang,81
limp bizkit,hot dog,80
astrix,valley of stevie,80
forfun,hidropnica,79
armin van buuren,great spirit,78
avicii,the nights,78
forfun,descendo o rio,76
forfun,quem vai vai,75
limp bizkit,break stuff,74
phaxe,bloom,74
tijah,one act faith,73
freedom fighters,recycled,73
shanti people,tandava blazy gottinari remix,73
forfun,minha jia,72
terra,sacred shamans,72
mitsunari br,dark odyssey,72
forfun,tropiclia digital,72
forfun,dissolver e recompor,71
forfun,a gara,71
all in one,black,70
forfun,largo dos lees,70
merkaba,ancients calling,69
groundbass,child of the universe original mix,69
vegas,meditatiohm,68
vegas,elipsy,67
forfun,pra sempre,66
forfun,quando a alma transborda,66
hilight tribe,free tibet vini vici remix,65
limp bizkit,my way,65
limp bizkit,rollin,65
hillsong united,oceans,63
terra,kundalini,62
ghost rider,garden,60
captain hook,bungee jump,60
the offspring,the kids arent alright,60
ranji,aura,58
blazy,interlude shapeless remix,57
rinkadink,procedural human,57
invasion,abduo,57
foo fighters,walk,57
rfs du sol,innerbloom,57
vermont,survey selva,57
astrix,genetic lottery,57
system of a down,toxicity,56
freedom fighters,raw,56
anavitria,trevo,56
astrix,universo,55
freedom fighters,clockwork,54
blastoyz,indian spirit,53
avenged sevenfold,nightmare,53
menumas,together always,53
avalon,plant medicine,52
forfun,good trip,52
pitty,equalize,52
swedish house mafia,dont you worry child,51
rising dust,universo,51
roby giordana,alavida,50
slipknot,duality,50
synthatic,dark side original mix,50
vegas,imaginarium vegas remix,50
mitsunari br,magic,49
avalon,tribal ritual,49
a day to remember,mr highways thinking about the end,49
system of a down,chop suey,49
freedom fighters,drumville,49
limp bizkit,take a look around,49
new west,those eyes,49
freedom fighters,subconscious,48
avan7,living fast,48
trilhas e razes,siga seu caminho,48
synthatic,odyssey,47
blazy,the chase,47
synthatic,this is the time,47
mrkitty,after dark,46
groundbass,lost paradise,46
forfun,costa verde,46
limp bizkit,full nelson,45
omiki,todo,45
blazy,taboo,45
ace ventura,pranava,45
linkin park,faint,45
blastoyz,zoom,45
dezko,ascend,44
falling in reverse,watch the world burn,44
vegas,lightstorm,44
major7,mega om,43
invasion,azazel,43
vermont,kazahi,43
bring me the horizon,can you feel my heart,43
blazy,the arrival,43
strike,o jogo virou,42
rosa walton,i really want to stay at your house,42
altruism,311 modus remix,42
dimitri vegas like mike,get in trouble,41
blastoyz,yanomami,41
neelix,rebellion,41
bloodywood,nu delhi,40
basscannon,twisted,40
blink182,all the small things,40
bloodywood,danadan,40
groundbass,darkness synthatic remix,40
groundbass,voodoo grooves original mix,39
basscannon,defragmented,39
illusionize,down vini vici vegas remix,39
linkin park,the emptiness machine,39
vermont,eternity,39
,,39
faders,guarani,39
system of a down,sugar,39
electric universe,calling for peace,39
webra,nitro bong,39
forfun,histria de vero,39
shanka tribe,travelling gypsies terra sajanka remix,38
loveless,running up that hill,38
ranji,lay me down,38
undercover,chapati,38
system of a down,byob,38
forfun,gruvi quntico,38
blink182,whats my age again,38
groundbass,adventure mode,38
blazy,interlude,37
linkin park,somewhere i belong,37
electric universe,ancient aum,37
querox,tripical moon,37
forfun,terra do nunca,36
neelix,wonders,36
kavinsky,nightcall,36
astrix,shamanic tales,36
anavitria,pupila,36
linkin park,ptsofathrty jay gordon reanimation,36
the offspring,youre gonna go far kid,35
bloodywood,machi bhasad,35
linkin park,one step closer,35
megadeth,symphony of destruction remastered 2012,35
roberta campos,de janeiro a janeiro,35
aura vortex,rampage,34
ghost rider,speed of soul vocal version,34
captain hook,the power of now dekel remix,34
cronocops,time,34
tijah,world of colours,34
gms,keep it psychedelic,34
captain hook,consciousness,34
